uploader_name,uploader_mid,uploader_pic,type_id,type_name,link,bvid,title,description,pic,view_count,danmaku_count,favorites_count,tag,review_count,send_date,duration,like_count,pub_seconds_ago
TESTV官方频道,11336264,https://i2.hdslb.com/bfs/face/34ccaf9461c67482e3164675c0036e94df18b7a7.jpg,95,数码,http://www.bilibili.com/video/av114737215971267,BV1qsK3z4EEP,女后妻的十年。,这是女后期的十年，你的十年呢？,//i2.hdslb.com/bfs/archive/bbc35204e825de21a09b8b3ad4952647310ec42d.jpg,137489,121,583,"原创,短片,情感,科技猎手,科技猎手2025·1.0计划",554,1750765432,52,7666,746896
李大可爱玩,2125857107,https://i2.hdslb.com/bfs/face/adfefe9db1465d51fc1e366f2e1773a1148cccf9.jpg,230,软件应用,http://www.bilibili.com/video/av867804068,BV18V4y1o787,全网都在吹的via，才是你手机里的最强浏览器,为什么我说你手机里，必须要有 via 浏览器。,//i2.hdslb.com/bfs/archive/84a18acd438d3369b5a24090045cd1abaa7ad964.jpg,7333952,1383,328890,"软件,科技,手机浏览器,软件应用,软件评测,app推荐,via,via浏览器,科技猎手2023",3091,1682372153,352,145357,69140175
YouTube武器鉴赏,415327053,https://i0.hdslb.com/bfs/face/77c27ab8bd549818889d0f9de216cfcd0400c554.jpg,232,科工机械,http://www.bilibili.com/video/av114529044337426,BV1ysJVzGEbB,“丧尸:你玩俄罗斯轮盘用我的脑袋玩？”,-,//i2.hdslb.com/bfs/archive/43a223e0ac8f30bbb5707f49a310796a6a9e719f.jpg,297334,100,567,"武器,科普,丧尸,射击,枪械,俄罗斯轮盘,左轮,军迷,军事科技",69,1747574724,68,8697,3937611
长风慕雪,92678097,https://i0.hdslb.com/bfs/face/ca8aca4ae2077ed2a36d6db07b18a1cccfb0735e.jpg,232,科工机械,http://www.bilibili.com/video/av114781457487536,BV1Vq3WzvE67,印度六代机来了！大地颤抖吧！ 网友对此有点不同的小看法 (1),喜欢记得关注哦，豪迈一点，与君共赴星辰大海╰(*°▽°*)╯,//i1.hdslb.com/bfs/archive/fb5d9f5c877de3e699eb80da60b1310a1e46bf45.jpg,44521,63,82,"印度,军事,伊朗,巴基斯坦,六代机,外国人看中国,youtube,J50,资讯直通车,J36,资讯直通车9.0",190,1751426321,896,572,86014
科技盲区,42853238,https://i2.hdslb.com/bfs/face/8b7681210f2dca0e1d405d859eec94b28432eaf9.jpg,95,数码,http://www.bilibili.com/video/av114753976404943,BV1FHKiziE4M,一个会自己思考的录音笔，出门问问最新研发的这个TicNote会成为你的得力助手吗？,"记录靠手写、整理靠自己
效率还老低
AI是有了
但要么只会被动回答
要么功能单一
根本解决不了问题。
难道就没有一款能记得住、听得懂、会思考的工具吗？
有的兄弟
有的
今天我要给大家分享的这个“高科技”——TicNote
出自国内少数能“软硬件一体化做AI”厂牌——出门问问",//i2.hdslb.com/bfs/archive/f5fb6d7b3d94138151252068b077d2da42ff5fde.jpg,84572,19,188,"AI,出门问问,录音笔,agent,科技猎手,大模型应用,科技猎手2025·1.0计划,TicNote",72,1751020208,367,696,492127
树懒TV,402421598,https://i2.hdslb.com/bfs/face/f6054909e707e98c834db8c3980a1b9b0ddaa231.jpg,230,软件应用,http://www.bilibili.com/video/av114548992381918,BV1o8JEzVEco,可以收看全球电视和电台的宝藏网站,"Radiocast
TV Garden",//i0.hdslb.com/bfs/archive/f9611100da170e9cc8eb51af6082e1b7bd2ae915.jpg,1213212,298,203150,"电台,网站,电视直播,广播电台,网站推荐,网站分享,干货分享,电台直播,工具分享,科技猎手,科技猎手2025·1.0计划",1398,1747930335,21,148598,3582000
城阳电工电路,1985127693,https://i0.hdslb.com/bfs/face/faae5daababbf652d97faedab1a25d78b654fc44.jpg,232,科工机械,http://www.bilibili.com/video/av114064130971921,BV1FWPeecEFE,诡异跳闸，分析为何现场摄像头快速转头，地上的拖把为什么会移位！,-,//i1.hdslb.com/bfs/archive/5190313b8c4659111dfca570169e76cea73e43a7.jpg,3070301,9694,15899,"现场,摄像头,电工知识,电工电路维修",9489,1740484551,781,179568,11027784
穷测数码,504063885,https://i0.hdslb.com/bfs/face/eb3024975af6e1d5e0356e6f5e9667b43fca8984.jpg,95,数码,http://www.bilibili.com/video/av114426367844046,BV1PoGXzuEzD,最便宜的骁龙8sgen4神机！144hz屏+120w+全新不到1700，iQOOZ10turbopro测评~,"喜欢的朋友千万别三连，投两币就行~
iQOOZ10Turbopro，非常香，体验超级棒（来自一个体验过的，倔强），真的不错，这期都是实测，主要是这个外观实在太舒服了，性能也完全拉满，今年同档唯一配置到顶的机

体验。就是，拍照可能一般，用其他没啥，这价你还要啥自行车

游戏也都没问题，主力机香香的~
非常香~ 144hz屏，

优点，质感贼好，系统流畅，各方面都不错

缺点，边框材质
（下期洋垃圾，或者对比测评）


居然都看到这了，说明我们非常有缘~
佛说过，遇到有缘人一定要给个三连^0^
最更新快吧，",//i1.hdslb.com/bfs/archive/0b0f693ae4d641da9c7808f4a3c1b541d49475f0.jpg,969730,2029,50454,"体验,评测,开箱,性价比,垃圾佬,电竞屏,原神,IQOO,iQOO Z10 Turbo",886,1746124527,667,18847,5387808
直男山禾,3494362365299578,https://i1.hdslb.com/bfs/face/3f2a3829c93ef2a3bd4eee0eb9430d2635f65b33.jpg,231,计算机技术,http://www.bilibili.com/video/av114715506381429,BV1uaKNzbEJ1,不敢相信！这些电影级打斗场面竟然是AI生成的？,"测试了一下海螺前天发布的Hailuo02模型
终于有产品把ai视频的价格打下来了！！！
第一梯队的视频质量，亲民的价格！
希望其他几家公司都学一下！赶紧价格战打起来！
用户用得起的，才是好产品！",//i0.hdslb.com/bfs/archive/14a8b6deaa4616551c5b49f50535430b608db5b0.jpg,80534,45,302,"人工智能,AI,ai视频,科技猎手,可灵,minimax,海螺AI,科技猎手2025·1.0计划,veo3,Hailuo02",24,1750479827,444,2557,1032508
Wallpaper_Engine,3546697248541258,https://i1.hdslb.com/bfs/face/88a300899578e763504750964699f200c1c489e3.jpg,230,软件应用,http://www.bilibili.com/video/av114701497276052,BV1eQNLzhEt8,【Wallpaper Engine】高端的食材，往往只需要简单的烹饪！,"壁纸名称在视频内！
记得打开❌❌✅！
感谢各位观众老爷的支持！",//i0.hdslb.com/bfs/archive/ee665d8059b805b04926cd0113949c827e1180cb.jpg,104774,20,21519,"壁纸,软件,桌面美化,动态壁纸,软件应用,steam,壁纸推荐,电脑壁纸,wallpaper,wallpaperengine",78,1750725611,31,15829,786724
街头爬楼党,265720095,https://i0.hdslb.com/bfs/face/965f571ad9459f3f40fca901a6d0e12af9faecb5.jpg,95,数码,http://www.bilibili.com/video/av775175613,BV1N14y1H7qv,“我会遇到好多有趣的人，但我不会落下你.” 今日的9个笑脸，希望能温暖你这个冬天~,“我会遇到好多有趣的人，但我不会落下你.” 今日的9个笑脸，希望能温暖你这个冬天~,//i1.hdslb.com/bfs/archive/6cf9a9c750c76e28470af5f2b1798e5564937a2c.jpg,5844687,1426,48816,"我生命里的一分钟,随手记录我的生活碎片,街拍,拍照,生活记录,氛围感,拍照的意义,送照片,扫街,烟火气,摄影",3064,1669715464,134,370741,81796871
小白测评,8969156,https://i2.hdslb.com/bfs/face/09dd0d38633d567179784ac9a0d95ac1187ea71d.jpg,95,数码,http://www.bilibili.com/video/av113158798712205,BV13ztjebEHM,「小白」iPhone16 Pro/Max全面测评：你想知道的都在这！,关注微信公众号：小白测评 每晚发车不见不散,//i2.hdslb.com/bfs/archive/39549a2d39e2a128f7152caf23bb9bde02ef78f9.jpg,1846590,16176,10191,"苹果,数码,手机平板,小白测评,iPhone,Apple,iPhone16系列,iPhone16Pro,2024苹果秋季发布会,2024苹果秋季新品,iPhone16Pro Max",4792,1726675291,2154,41923,24837044
